id,name,slug,description,icon,sort_order,created_at,core
a298681e-cc3f-4cbe-9d85-276a38c64f9d,创业孵化,startup-camp,包含创新创业相关的赛事、孵化、科创营地等,/tags/avatar2.svg,0,2026-01-26 07:36:58.28988+00,创业资源孵化器
387bf08b-905b-4fd4-b800-d4eca22f2cb8,行业大厂资源,summit,包含大厂实习资源、offer直通，大厂1v1、真实内部揭秘，行业经验分享等,/tags/avatar3.svg,0,2026-01-26 07:35:49.288022+00,大咖演讲+圆桌论坛+趋势分享
5a69255a-ef19-4169-8821-539532cc9776,AI产品创意活动,hackathon,黑客马拉松、极客营地...全中国大学生群体最流行的AI活动大赛！限时组队+快速创意产品demo开发,/tags/avatar5.svg,70,2026-01-25 09:00:30.212369+00,限时组队+快速创意产品demo开发
e9614ffd-7705-490a-b927-7643887f2dcd,AI教学工坊,workshop,零代码无基础教学开发、人工智能基础入门、实习面试tips教学...包含各种教学训练营资源。最高质量的ai技能教学工坊！,/tags/avatar6.svg,100,2026-01-25 09:00:30.212369+00,讲师指导+动手实操
45387114-3219-46cf-987a-ffd53cbfe781,高校科创竞赛,competitons,robotmaster、电赛、acm...全中国大学生最高质量的赛事推荐,/tags/avatar1.svg,0,2026-02-03 15:22:36.657868+00,
863cfb28-ac89-4c29-af13-2aa098a4bc62,“周末”线下沙龙,ai-meetup,包含学术酒吧、社区聚会、ai产品交流活动... ai时代年轻人最流行的线下聚会方式等,/tags/avatar4.svg,0,2026-01-26 07:36:08.2102+00,建立真实的社交连接、深化关系、拓展人脉圈
